===========  Loading files ===========
Loading richards.js
===========  Data flow analysis ===========
richards.js:414:1 (node transfers: 1311, worklist size: 12)
richards.js:308:1 (node transfers: 1312, worklist size: 12)
richards.js:595:1 (node transfers: 1313, worklist size: 11)
richards.js:414:1 (node transfers: 1314, worklist size: 11)
richards.js:308:1 (node transfers: 1315, worklist size: 11)
richards.js:530:7 (node transfers: 1316, worklist size: 10)
richards.js:533:7 (node transfers: 1317, worklist size: 10)
richards.js:534:17 (node transfers: 1322, worklist size: 10)
richards.js:537:11 (node transfers: 1331, worklist size: 10)
richards.js:538:13 (node transfers: 1336, worklist size: 10)
richards.js:542:16 (node transfers: 1367, worklist size: 10)
richards.js:301:29 (node transfers: 1368, worklist size: 10)
richards.js:302:11 (node transfers: 1370, worklist size: 10)
richards.js:303:25 (node transfers: 1382, worklist size: 11)
richards.js:304:3 (node transfers: 1383, worklist size: 11)
richards.js:307:10 (node transfers: 1404, worklist size: 12)
richards.js:405:47 (node transfers: 1405, worklist size: 12)
richards.js:406:7 (node transfers: 1406, worklist size: 12)
richards.js:407:5 (node transfers: 1411, worklist size: 13)
richards.js:408:5 (node transfers: 1416, worklist size: 13)
richards.js:409:9 (node transfers: 1417, worklist size: 13)
richards.js:409:47 (node transfers: 1424, worklist size: 14)
richards.js:411:5 (node transfers: 1425, worklist size: 14)
richards.js:411:18 (node transfers: 1431, worklist size: 14)
richards.js:587:26 (node transfers: 1432, worklist size: 14)
richards.js:588:3 (node transfers: 1435, worklist size: 14)
richards.js:589:29 (node transfers: 1442, worklist size: 15)
richards.js:590:20 (node transfers: 1443, worklist size: 15)
richards.js:591:18 (node transfers: 1445, worklist size: 15)
richards.js:592:12 (node transfers: 1452, worklist size: 17)
richards.js:591:18 (node transfers: 1454, worklist size: 17)
richards.js:592:12 (node transfers: 1461, worklist size: 17)
richards.js:591:18 (node transfers: 1463, worklist size: 17)
richards.js:593:3 (node transfers: 1470, worklist size: 16)
richards.js:595:1 (node transfers: 1475, worklist size: 15)
richards.js:595:1 (node transfers: 1476, worklist size: 15)
richards.js:411:5 (node transfers: 1477, worklist size: 15)
richards.js:413:10 (node transfers: 1478, worklist size: 14)
richards.js:414:1 (node transfers: 1479, worklist size: 13)
richards.js:414:1 (node transfers: 1480, worklist size: 12)
richards.js:308:1 (node transfers: 1481, worklist size: 11)
richards.js:308:1 (node transfers: 1482, worklist size: 10)
richards.js:550:10 (node transfers: 1483, worklist size: 9)
richards.js:550:10 (node transfers: 1487, worklist size: 9)
richards.js:290:38 (node transfers: 1488, worklist size: 9)
richards.js:291:3 (node transfers: 1489, worklist size: 9)
richards.js:291:3 (node transfers: 1493, worklist size: 9)
richards.js:373:46 (node transfers: 1494, worklist size: 9)
richards.js:374:3 (node transfers: 1495, worklist size: 9)
richards.js:375:1 (node transfers: 1501, worklist size: 9)
richards.js:292:10 (node transfers: 1502, worklist size: 9)
richards.js:293:1 (node transfers: 1504, worklist size: 9)
richards.js:551:1 (node transfers: 1505, worklist size: 8)
richards.js:551:1 (node transfers: 1506, worklist size: 8)
richards.js:490:28 (node transfers: 1507, worklist size: 7)
richards.js:491:7 (node transfers: 1509, worklist size: 7)
richards.js:492:12 (node transfers: 1513, worklist size: 8)
richards.js:494:9 (node transfers: 1517, worklist size: 8)
richards.js:495:7 (node transfers: 1522, worklist size: 8)
richards.js:492:12 (node transfers: 1525, worklist size: 8)
richards.js:499:5 (node transfers: 1526, worklist size: 8)
richards.js:501:21 (node transfers: 1537, worklist size: 9)
richards.js:502:7 (node transfers: 1541, worklist size: 9)
richards.js:504:7 (node transfers: 1552, worklist size: 9)
richards.js:501:21 (node transfers: 1565, worklist size: 9)
richards.js:502:7 (node transfers: 1569, worklist size: 10)
richards.js:503:25 (node transfers: 1580, worklist size: 11)
richards.js:504:7 (node transfers: 1583, worklist size: 10)
richards.js:501:21 (node transfers: 1596, worklist size: 10)
richards.js:502:7 (node transfers: 1600, worklist size: 10)
richards.js:503:25 (node transfers: 1611, worklist size: 11)
richards.js:504:7 (node transfers: 1614, worklist size: 10)
richards.js:506:12 (node transfers: 1627, worklist size: 9)
richards.js:506:12 (node transfers: 1632, worklist size: 9)
richards.js:301:29 (node transfers: 1633, worklist size: 9)
richards.js:302:11 (node transfers: 1635, worklist size: 9)
richards.js:303:25 (node transfers: 1647, worklist size: 10)
richards.js:304:3 (node transfers: 1648, worklist size: 9)
richards.js:307:10 (node transfers: 1669, worklist size: 9)
richards.js:508:1 (node transfers: 1670, worklist size: 8)
richards.js:508:1 (node transfers: 1671, worklist size: 7)
richards.js:434:26 (node transfers: 1672, worklist size: 6)
richards.js:435:3 (node transfers: 1673, worklist size: 6)
richards.js:437:8 (node transfers: 1684, worklist size: 6)
richards.js:441:5 (node transfers: 1691, worklist size: 6)
richards.js:442:12 (node transfers: 1704, worklist size: 6)
richards.js:264:31 (node transfers: 1705, worklist size: 6)
richards.js:265:13 (node transfers: 1707, worklist size: 6)
richards.js:267:3 (node transfers: 1717, worklist size: 7)
richards.js:266:27 (node transfers: 1720, worklist size: 8)
richards.js:267:3 (node transfers: 1721, worklist size: 8)
richards.js:361:44 (node transfers: 1722, worklist size: 8)
richards.js:362:3 (node transfers: 1723, worklist size: 8)
richards.js:363:1 (node transfers: 1729, worklist size: 8)
richards.js:268:7 (node transfers: 1730, worklist size: 8)
richards.js:269:12 (node transfers: 1739, worklist size: 9)
richards.js:271:12 (node transfers: 1740, worklist size: 8)
richards.js:273:1 (node transfers: 1742, worklist size: 7)
richards.js:273:1 (node transfers: 1743, worklist size: 7)
richards.js:444:1 (node transfers: 1744, worklist size: 7)
richards.js:444:1 (node transfers: 1745, worklist size: 6)
richards.js:461:28 (node transfers: 1746, worklist size: 5)
richards.js:462:7 (node transfers: 1748, worklist size: 5)
richards.js:463:9 (node transfers: 1752, worklist size: 6)
richards.js:463:33 (node transfers: 1757, worklist size: 6)
richards.js:463:33 (node transfers: 1761, worklist size: 6)
richards.js:468:5 (node transfers: 1762, worklist size: 6)
richards.js:469:12 (node transfers: 1769, worklist size: 6)
richards.js:280:35 (node transfers: 1770, worklist size: 6)
richards.js:281:3 (node transfers: 1771, worklist size: 6)
richards.js:282:3 (node transfers: 1781, worklist size: 6)
richards.js:365:41 (node transfers: 1782, worklist size: 6)
richards.js:366:3 (node transfers: 1783, worklist size: 6)
richards.js:367:1 (node transfers: 1789, worklist size: 6)
richards.js:283:10 (node transfers: 1790, worklist size: 6)
richards.js:284:1 (node transfers: 1794, worklist size: 6)
richards.js:471:1 (node transfers: 1795, worklist size: 5)
richards.js:398:1 (node transfers: 1796, worklist size: 4)
richards.js:398:1 (node transfers: 1797, worklist size: 4)
richards.js:255:7 (node transfers: 1798, worklist size: 3)
richards.js:250:10 (node transfers: 1799, worklist size: 3)
richards.js:251:9 (node transfers: 1804, worklist size: 3)
richards.js:251:9 (node transfers: 1808, worklist size: 3)
